"","X","RespondentID","Year","Age","Region","Educ.Level","Educ.Years","Educ.Attained","Marital","Husb.Educ.Level","Husb.Educ.Years","Husb.Employment","Employment","Husb.Educ.Attained","Husb.Age","Emotional.IPV","Less.Physic.IPV","More.Physic.IPV","Sexual.IPV","Husb.Employment.Bin","Employment.Bin","LPG","Physical.IPV","ANY.IPV","Counts.IPV","Male","Female"
"1613",11153,11739,2017,26,2,1,7,2,1,2,9,9213,0,3,29,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1614",11154,11740,2017,25,3,3,12,5,1,3,14,9211,0,5,25,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1615",11155,11741,2017,27,3,3,15,5,1,2,10,5414,5222,3,27,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1616",11156,11742,2017,21,3,2,11,4,2,2,9,9329,0,3,31,0,1,0,0,1,0,"Male only Employed",1,1,1,1,0
"1617",11157,11743,2017,32,3,1,3,1,2,1,5,9211,0,1,23,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1618",11158,11744,2017,22,3,2,11,4,1,2,11,9211,0,3,29,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1619",11159,11745,2017,24,3,3,13,5,1,2,9,9211,0,3,24,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1620",11160,11746,2017,36,3,1,7,2,1,2,11,7115,1221,3,36,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1621",11161,11747,2017,23,3,2,9,3,1,1,5,9329,9121,1,37,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1622",11162,11748,2017,40,3,2,11,4,2,2,9,9334,5120,3,47,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1623",11163,11749,2017,27,3,2,11,4,1,1,1,9213,0,1,33,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1624",11164,11750,2017,37,3,2,11,4,1,2,10,9211,0,3,45,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1625",11165,11751,2017,36,3,3,13,5,1,3,15,2112,0,5,45,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1626",11166,11752,2017,24,3,3,12,5,2,3,12,8321,0,5,27,0,1,0,0,1,0,"Male only Employed",1,1,1,1,0
"1627",11167,11753,2017,37,3,2,9,3,1,1,7,8321,9121,1,46,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1628",11168,11754,2017,33,3,1,7,2,1,2,11,9333,0,3,26,1,0,1,0,1,0,"Male only Employed",1,1,2,1,0
